Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
M-9-17,Montipora,9,T3,Effluent,Ambient,1,25,0.4235,0.434,0.0105,0.429,0.0055,0.125
M-1-12,Montipora,1,T3,Guano,Ambient,1,25,0.4209,0.4309,0.01,0.4262,0.0053,0.1175
M-2-12,Montipora,2,T3,Guano,Ambient,1,25,0.4206,0.4292,0.0086,0.4249,0.0043,0.1075
M-3-12,Montipora,3,T3,Guano,Ambient,1,25,0.4197,0.4248,0.0051,0.4223,0.0026,0.0625
M-4-12,Montipora,4,T3,Guano,Ambient,1,25,0.4232,0.4307,0.0075,0.4271,0.0039,0.09
M-5-12,Montipora,5,T3,Guano,Ambient,1,25,0.4232,0.4302,0.007,0.4265,0.0033,0.0925
M-6-12,Montipora,6,T3,Guano,Ambient,1,25,0.423,0.436,0.013,0.4294,0.0064,0.165
M-7-12,Montipora,7,T3,Guano,Ambient,1,25,0.4198,0.4319,0.0121,0.4264,0.0066,0.1375
M-8-12,Montipora,8,T3,Guano,Ambient,1,25,0.4204,0.431,0.0106,0.4254,0.005,0.14
M-9-12,Montipora,9,T3,Guano,Ambient,1,25,0.4214,0.4332,0.0118,0.4272,0.0058,0.15
M-1-7,Montipora,1,T3,Inorganic,Ambient,1,25,0.4159,0.4245,0.0086,0.4204,0.0045,0.1025
M-2-7,Montipora,2,T3,Inorganic,Ambient,1,25,0.4242,0.4302,0.006,0.427,0.0028,0.08
M-3-7,Montipora,3,T3,Inorganic,Ambient,1,25,0.4218,0.4279,0.0061,0.4248,0.003,0.0775
M-4-7,Montipora,4,T3,Inorganic,Ambient,1,25,0.4126,0.4161,0.0035,0.4141,0.0015,0.05
M-5-7,Montipora,5,T3,Inorganic,Ambient,1,25,0.419,0.4288,0.0098,0.4242,0.0052,0.115
M-6-7,Montipora,6,T3,Inorganic,Ambient,1,25,0.4261,0.4381,0.012,0.4321,0.006,0.15
M-7-6,Montipora,7,T3,Inorganic,Ambient,1,25,0.4203,0.4287,0.0084,0.4255,0.0052,0.08
M-8-7,Montipora,8,T3,Inorganic,Ambient,1,25,0.4153,0.4273,0.012,0.4208,0.0055,0.1625
M-9-7,Montipora,9,T3,Inorganic,Ambient,1,25,0.4173,0.4256,0.0083,0.4214,0.0041,0.105
M-1-22,Montipora,1,T3,Control,Heated,1,25,0.4201,0.4263,0.0062,0.4238,0.0037,0.0625
